5;311;Teenage Mutant Hero Turtles: The HyperStone Heist 
5;312;The Incredible Crash Dummies 
5;313;The lucky dime carer donald duck 
5;314;Winter Olympics
5;315;Wonder boy III monster land 
5;316;World of illusion starring disney's mickey mouse & donald duck 
8;317;Command & Conquer 
8;318;Evangelion
8;319;Exhumed 
8;320;Rayman 
8;321;Sonic 3D 
8;322;Tomb raider 
8;323;Tunnel B1 
8;324;Virtua Fighter 
8;325;Virtua Fighter 2 
8;326;Virtua Fighter Kids 
8;327;Virtua Racing 
19;328;Civilization II 
19;329;Command & conquer alert rouge mission tesla 
19;330;Diablo 
19;331;Duke nulem land of the babes 
19;332;Dune 2000 
19;333;Dynasty warriors 
19;334;Final Fantasy origins
19;335;Final Fantasy Anthology
19;336;Final Fantasy premium package
19;337;Final Fantasy VI
19;338;Final Fantasy VII 
19;339;Final Fantasy VII 
19;340;Final Fantasy VII 
19;341;Final Fantasy VII platinium
19;342;Final Fantasy VII platinium
19;343;Final Fantasy VII platinium
19;344;Final Fantasy VII version presse
19;345;Final Fantasy VII version presse
19;346;Final Fantasy VII demo sysgraph 95
19;347;Final Fantasy VIII demo
19;348;Final Fantasy VIII demo
19;349;Final Fantasy VIII
19;350;Final Fantasy VIII
19;351;Final Fantasy VIII platinium
19;352;Final Fantasy IX
19;353;Final Fantasy IX platinium
19;354;Grand tourismo 
19;355;Medal of honor 
19;356;Metal gear solid 
19;357;NBA live 98 
19;358;Porsche challenge 
19;359;Rayman
19;360;Syphon filter 
19;361;Syphon filter 2 
19;362;Tekken 3 
19;363;Wild arms 
20;364;Bonanza bros 
20;365;Buzz le mega quizz 
20;366;Capcom VS snk 2 
20;367;Dragon ball Z budokaï 
20;368;Dragon ball Z budokaï 3 
20;369;Dragon ball Z budokaï tenkaïchi 
20;370;Dragon ball Z budokaï tenkaïchi 2 
20;371;Dragon quest VIII 
20;372;Eye toy play 2 
20;373;Eye toy play 3 
20;374;Dirge of Cerberus: Final Fantasy VII
20;375;Final Fantasy X
20;376;Final Fantasy X
20;377;Final Fantasy X
20;378;Final Fantasy X edition special
20;379;Final Fantasy X platinium
20;380;Final Fantasy X-2
20;381;Final Fantasy X-2 platinium
20;382;Final Fantasy XII
20;383;Final Fantasy XII
20;384;Final Fantasy XII
20;385;Grand tourismo 3 
20;386;Grand tourismo 4 
20;387;Guitar hero 
20;388;Guitar hero II 
20;389;Guitar hero rock the 80's 
20;390;Kinetic 
20;391;Lego star wars 
20;392;Lego star wars II : La Trilogie originale
20;393;Metal gear solid 2 : Sons of Liberty
20;394;Metal gear solid 3 : Snake Eater
20;395;Saint Seiya, Les Chevaliers du Zodiaque : Hadès 
20;396;Saint Seiya, Les Chevaliers du Zodiaque : Le Sanctuaire 
20;397;Tekken 4 
21;364;Bonanza bros 
21;365;Buzz le mega quizz 
21;366;Capcom VS snk 2 
21;367;Dragon ball Z budokaï 
21;368;Dragon ball Z budokaï 3 
21;369;Dragon ball Z budokaï tenkaïchi 
21;370;Dragon ball Z budokaï tenkaïchi 2 
21;371;Dragon quest VIII 
21;372;Eye toy play 2 
21;373;Eye toy play 3 
21;374;Dirge of Cerberus: Final Fantasy VII
21;375;Final Fantasy X
21;376;Final Fantasy X
21;377;Final Fantasy X
21;378;Final Fantasy X edition special
21;379;Final Fantasy X platinium
21;380;Final Fantasy X-2
21;381;Final Fantasy X-2 platinium
21;382;Final Fantasy XII
21;383;Final Fantasy XII
21;384;Final Fantasy XII
21;385;Grand tourismo 3 
21;386;Grand tourismo 4 
21;387;Guitar hero 
21;388;Guitar hero II 
21;389;Guitar hero rock the 80's 
21;390;Kinetic 
21;391;Lego star wars 
21;392;Lego star wars II : La Trilogie originale
21;393;Metal gear solid 2 : Sons of Liberty
21;394;Metal gear solid 3 : Snake Eater
21;395;Saint Seiya, Les Chevaliers du Zodiaque : Hadès 
21;396;Saint Seiya, Les Chevaliers du Zodiaque : Le Sanctuaire 
21;397;Tekken 4 
22;398;Assasin's creed 
22;399;Assasin's creed II 
22;400;Assasin's creed Brotherhood 
22;401;Assasin's creed Revelations 
22;402;Dragon ball Z burst limit 
22;403;Dragon ball Z raging blast 
22;404;EA sport active 2 
22;405;Eternal sonata 
22;406;F1 championship edition 
22;407;Final Fantasy XIII 
22;408;Grand tourismo 5 
22;409;Guitar hero III legends of rock 
22;410;Guitar hero world tour 
22;411;Guitar hero Band Hero 
22;412;Guitar hero 5 
22;413;Guitar hero Wariors of rock
22;414;Heavenly sword 
22;415;Lego indiana jones la trilogie originale 
22;416;Mirror's age 
22;417;NBA 2K8 
22;418;Need for speed carbon 
22;419;Need For Speed Undercover 
22;420;Pirates des caraibes : jusqu'au bout du monde 
22;421;Ratchet & clank operation destruction 
22;422;Sega Megadrive Ultimate Collection
22;423;Skate 
22;424;Smack down VS raw 2008 
22;425;Star Ocean : The Last Hope 
22;426;The eye of the judgment 
22;427;Unrealtournament III 
22;428;Virtua Fighters 5 
23;398;Assasin's creed 
23;399;Assasin's creed II 
23;400;Assasin's creed Brotherhood 
23;401;Assasin's creed Revelations 
23;402;Dragon ball Z burst limit 
23;403;Dragon ball Z raging blast 
23;404;EA sport active 2 
23;405;Eternal sonata 
23;406;F1 championship edition 
23;407;Final Fantasy XIII 
23;408;Grand tourismo 5 
23;409;Guitar hero III legends of rock 
23;410;Guitar hero world tour 
23;411;Guitar hero Band Hero 
23;412;Guitar hero 5 
23;413;Guitar hero Wariors of rock
23;414;Heavenly sword 
23;415;Lego indiana jones la trilogie originale 
23;416;Mirror's age 
23;417;NBA 2K8 
23;418;Need for speed carbon 
23;419;Need For Speed Undercover 
23;420;Pirates des caraibes : jusqu'au bout du monde 
23;421;Ratchet & clank operation destruction 
23;422;Sega Megadrive Ultimate Collection
23;423;Skate 
23;424;Smack down VS raw 2008 
23;425;Star Ocean : The Last Hope 
23;426;The eye of the judgment 
23;427;Unrealtournament III 
23;428;Virtua Fighters 5 
24;429;Every Extend Extra 
24;430;Final Fantasy 
24;431;Final Fantasy II 
24;432;Final Fantasy VII crisis core 
24;433;Grand theft auto vice city stories 
24;434;Gunpey 
24;435;Les sims 2 : animaux & cie 
24;436;Metal gear solid portable ops plus 
37;437;Cartouche n°1 : Casse brique
37;438;Cartouche n°4 : Flipper
37;439;Cartouche n°6 : Bataille navale
