;Genre;Console;Editeur;Developpeur;Version;Titre;Complement version;Etat;Boite;Etat boite;Notice;Etat notice;Informations;Cotation;Lien
;Réflexion;Intellivision;;1;;Checkers ;;;;;;;;;
;Simulation foot;Intellivision;;1;;Football ;;;;;;;;;
;Plate-forme 2D;Intellivision;;1;;Frog Bog ;;;;;;;;;
;Labyrinthe ;Intellivision;;1;;Lock 'N Chase ;;;;;;;;;
;Labyrinthe ;Intellivision;;1;;Snafu ;;;;;;;;;
;Simulation foot;Intellivision;;1;;Soccer ;;;;;;;;;
;Space battle;Intellivision;;1;;Space Battle ;;;;;;;;;
;Space battle;Intellivision;;1;;Star Strike ;;;;;;;;;
;Shoot ;Intellivision;;1;;Sub Hunt ;;;;;;;;;
;Simulation tennis ;Intellivision;;1;;Tennis ;;;;;;;;;
;Arcade voiture ;Intellivision;;1;;Triple Action ;;;;;;;;;
;Space battle;Intellivision;Sega;1;;Zaxxon ;;;;;;;;;http://fr.wikipedia.org/wiki/Zaxxon
;;;;1;;;;;;;;;;;
;;;;1;;Xbox (Microsoft);;;;;;;;;
;Arcade voiture ;Xbox;EA;1;;Burnout 3 takedown ;;;;;;;;;http://fr.wikipedia.org/wiki/Burnout_3:_Takedown
;Simulation foot;Xbox;EA;1;;Fifa 2004 ;;;;;;;;;http://fr.wikipedia.org/wiki/FIFA_Football_2004
;FPS;Xbox;Microsoft Games Studios;1;;Halo : Combat Evolved;;;;;;;;;http://fr.wikipedia.org/wiki/Halo:_Combat_Evolved
;Arcade voiture ;Xbox;Microsoft Games Studios;1;;Midtown madness 3 ;;;;;;;;;http://fr.wikipedia.org/wiki/Midtown_Madness_3
;Arcade voiture ;Xbox;EA;1;;Need for speed underground ;;;;;;;;;http://fr.wikipedia.org/wiki/Need_for_Speed_Underground
;Arcade voiture ;Xbox;EA;1;;Need for speed underground 2;;;;;;;;;http://fr.wikipedia.org/wiki/Need_for_Speed:_Underground_2
;Action;Xbox;Activision;1;;True Crime: Streets of LA ;;;;;;;;;http://fr.wikipedia.org/wiki/True_Crime:_Streets_of_LA
;;;;1;;;;;;;;;;;
;;;;1;;Xbox 360 (Microsoft);;;;;;;;;
;RPG;Xbox 360;Microsoft Games Studios;1;EU;Lost Odyssey ;;8;1;8;1;8;;;http://fr.wikipedia.org/wiki/Lost_Odyssey
;RPG;Xbox 361;SquareEnix;1;EU;The Last Remnant ;;8;1;8;1;8;;;http://fr.wikipedia.org/wiki/The_Last_Remnant
;;;;1;;;;;;;;;;;
;;;;1;;Turbografx 16 (NEC);;;;;;;;;
;Shoot them up ;Turbografx 16;Hudson Soft;1;;Blazing Lazers;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Blazing_Lazers
;;;;1;;;;;;;;;;;
;;;;1;;DS (Nintendo);;;;;;;;;
;Stratégie ;DS & DS light & DS XL;Nintendo;1;;Advance wars dark conflict ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Advance_Wars:_Dark_Conflict
;Stratégie ;DS & DS light & DS XL;Nintendo;1;;Advance wars dual strike;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Advance_Wars_:_Double_offensive
;Stratégie ;DS & DS light & DS XL;Enlight Software;1;;Age of empire II :  the age of king ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Age_of_Empires_II:_The_Age_of_Kings
;Simulation économique ;DS & DS light & DS XL;Sunflower Interactives;1;;Anno  1701;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Anno_1701
;Action-RPG ;DS & DS light & DS XL;SquareEnix;1;;Children of mana ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Children_of_Mana
;RPG;DS & DS light & DS XL;SquareEnix;1;;Final Fantasy III ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Final_Fantasy_III_%28Nintendo_DS%29
;RPG;DS & DS light & DS XL;SquareEnix;1;;Final Fantasy IV ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Final_Fantasy_IV_%28Nintendo_DS%29#Nintendo_DS
;RPG;DS & DS light & DS XL;SquareEnix;1;;Final Fantasy XII revenant wings ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Final_Fantasy_XII:_Revenant_Wings
;Tactic-RPG;DS & DS light & DS XL;SquareEnix;1;;Final Fantasy Crystal Chronicles Ring of Fates;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Final_Fantasy_Crystal_Chronicles:_Ring_of_Fates
;Point and click ;DS & DS light & DS XL;369 Interactive;1;;Les experts meurtres a las vegas ;;9;1;9;1;9;;;
;Point and click ;DS & DS light & DS XL;Capcom;1;;Phoenix wright ace attorney ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Phoenix_Wright:_Ace_Attorney
;Puzzle game;DS & DS light & DS XL;Mitchell;1;;Polarium ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Polarium
;Réflexion ;DS & DS light & DS XL;Nintendo;1;;Programme d'entrainement cerebral du dr Kawashima quel âge a votre cerveau? ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Programme_d%27entra%C3%AEnement_c%C3%A9r%C3%A9bral_du_Dr_Kawashima_:_Quel_%C3%A2ge_a_votre_cerveau_%3F
;Simulation économique ;DS & DS light & DS XL;EA;1;;Theme park ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Theme_Park_DS
;Point and click ;DS & DS light & DS XL;Atlus;1;;Trauma center under the knife ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Trauma_Center:_Under_the_Knife
;?;DS & DS light & DS XL;THQ;1;;Worms open warfare ;;9;1;9;1;9;;;http://fr.wikipedia.org/wiki/Worms:_Open_Warfare
;;;;1;;;;;;;;;;;
;;;;1;;Game Boy (Nintendo);;;;;;;;;
;Action-aventure ;Game Boy & Game Boy Color;;1;;Ghostbusters II ;;;;;;;;;
;Action-aventure ;Game Boy & Game Boy Color;;1;;Star wars ;;;;;;;;;
;Plate-forme 2D;Game Boy & Game Boy Color;Nintendo;1;;Super mario land 2 ;;;;;;;;;http://fr.wikipedia.org/wiki/Super_Mario_Land_2:_6_Golden_Coins
;RPG;Game Boy & Game Boy Color;Square;1;;Mystic Quest;;9;1;9;1;9;Nom US de final fantasy;;http://fr.wikipedia.org/wiki/Mystic_Quest
;;;;1;;;;;;;;;;;
;;;;1;;Game Boy Advance (Nintendo);;;;;;;;;
;RPG;Game Boy Advance & DS & DS light;SquareEnix/Nintendo;1;;Final Fantasy VI ;;10;1;10;1;10;neuf emballé;;http://fr.wikipedia.org/wiki/Final_Fantasy_VI_Advance#Game_Boy_Advance
;Arcade voiture;Game Boy Advance & DS & DS light;;1;;Need for speed;;;;;;;;;
;;;;1;;;;;;;;;;;
;;;;1;;Game Boy Color (Nintendo);;;;;;;;;
;puzzle game;Game Boy & Game Boy Color;Nintendo;1;;Tetris DX ;;;;;;;;;http://fr.wikipedia.org/wiki/Tetris_DX
;Plate-forme 2D;Game Boy Color;;1;;Rayman;;9;1;10;1;10;neuf emballé;;
;;;;1;;;;;;;;;;;
;;;;1;;GameCube (Nintendo);;;;;;;;;
;RPG;GameCube & Wii;;1;;Beyblade: Super Tournament Battle;;;;;;;;;
